13948942652188655616,0,0
13948942652188655616,4607182418800017408,0
13946371787978702848,0,0
13946371787978702848,4607182418800017408,0
13946371787844485120,0,0
13946371787844485120,4607182418800017408,4536236672341327668
13830554455654793216,0,0
13830554455654793216,4607182418800017408,4566065993562619385
0,0,4536236672341327668
0,4607182418800017408,4566065993708854989
4607182418800017408,0,4536236672341327668
4607182418800017408,4607182418800017408,4566065993855090593
4688897573220515840,0,4536236672341327668
4688897573220515840,4607182418800017408,4566109864390156619
4693401164257951744,0,4536236672341327668
4693401164257951744,4607182418800017408,4566153734925222645
4693401172847886336,0,4536236672341327668
4693401172847886336,4607182418800017408,4566153735071458250
4693401181437820928,0,4536236681700406345
4693401181437820928,4607182418800017408,4566153735217693854
4725570615333879808,0,4568463800633747226
4725570615333879808,4607182418800017408,4571914503909878592
4764068179687243776,0,4607182418800017408
4764068179687243776,4607182418800017408,4607190644552761464
